,date,open,high,low,close,volume,day,month,year,day_name
1823,2020-01-06,12170.6,12175.45,11974.35,11988.1,0,6,1,2020,Monday
1824,2020-01-07,12079.1,12151.8,12005.7,12060.3,0,7,1,2020,Tuesday
1825,2020-01-08,11939.1,12044.45,11931.35,12021.6,0,8,1,2020,Wednesday
1826,2020-01-09,12153.15,12224.0,12136.5,12214.45,0,9,1,2020,Thursday
1827,2020-01-10,12271.0,12311.05,12213.6,12256.5,0,10,1,2020,Friday
1830,2020-01-13,12296.7,12337.4,12287.0,12329.6,0,13,1,2020,Monday
1831,2020-01-14,12333.1,12373.65,12309.35,12360.05,0,14,1,2020,Tuesday
1832,2020-01-15,12349.4,12355.0,12279.05,12340.35,0,15,1,2020,Wednesday
1833,2020-01-16,12347.1,12389.0,12315.85,12354.05,0,16,1,2020,Thursday
1834,2020-01-17,12328.4,12385.25,12322.25,12346.1,0,17,1,2020,Friday
1837,2020-01-20,12430.5,12430.5,12217.25,12230.75,0,20,1,2020,Monday
1838,2020-01-21,12195.3,12230.05,12162.55,12169.65,0,21,1,2020,Tuesday
1839,2020-01-22,12218.35,12224.8,12088.8,12108.15,0,22,1,2020,Wednesday
1840,2020-01-23,12123.75,12188.5,12095.65,12179.9,0,23,1,2020,Thursday
1841,2020-01-24,12174.55,12272.05,12150.15,12252.15,0,24,1,2020,Friday
1844,2020-01-27,12197.1,12216.55,12107.05,12109.9,0,27,1,2020,Monday
1845,2020-01-28,12148.1,12162.85,12025.8,12061.95,0,28,1,2020,Tuesday
1846,2020-01-29,12114.9,12169.4,12104.0,12132.0,0,29,1,2020,Wednesday
1847,2020-01-30,12147.75,12148.7,12011.0,12023.8,0,30,1,2020,Thursday
1848,2020-01-31,12100.4,12100.55,11946.15,11966.45,0,31,1,2020,Friday
1849,2020-02-01,11939.0,12016.65,11633.75,11643.65,0,1,2,2020,Saturday
1851,2020-02-03,11627.45,11749.85,11615.75,11724.6,0,3,2,2020,Monday
1852,2020-02-04,11786.25,11985.6,11786.25,11981.3,0,4,2,2020,Tuesday
1853,2020-02-05,12005.85,12097.7,11954.05,12091.95,0,5,2,2020,Wednesday
1854,2020-02-06,12120.0,12160.45,12085.0,12133.25,0,6,2,2020,Thursday
1855,2020-02-07,12151.15,12151.15,12074.0,12086.6,0,7,2,2020,Friday
1858,2020-02-10,12102.35,12102.4,11990.8,12035.3,0,10,2,2020,Monday
1859,2020-02-11,12108.4,12172.0,12099.3,12110.45,0,11,2,2020,Tuesday
1860,2020-02-12,12151.0,12231.55,12145.05,12203.9,0,12,2,2020,Wednesday
1861,2020-02-13,12219.55,12219.65,12140.0,12168.95,0,13,2,2020,Thursday
1862,2020-02-14,12190.15,12246.5,12091.65,12113.35,0,14,2,2020,Friday
1865,2020-02-17,12131.8,12159.35,12037.2,12050.15,0,17,2,2020,Monday
1866,2020-02-18,12028.25,12028.9,11908.3,12008.05,0,18,2,2020,Tuesday
1867,2020-02-19,12090.6,12134.25,12042.2,12130.95,0,19,2,2020,Wednesday
1868,2020-02-20,12119.0,12151.2,12071.9,12083.1,0,20,2,2020,Thursday
1872,2020-02-24,12012.55,12012.55,11813.6,11835.85,0,24,2,2020,Monday
1873,2020-02-25,11877.5,11882.9,11780.0,11814.35,0,25,2,2020,Tuesday
1874,2020-02-26,11738.55,11782.6,11640.3,11677.35,0,26,2,2020,Wednesday
1875,2020-02-27,11661.25,11661.25,11536.95,11619.95,0,27,2,2020,Thursday
1876,2020-02-28,11382.0,11382.0,11175.6,11217.4,0,28,2,2020,Friday
